row,column,original_data,sensitivity_level,protection_status,confidence,sensitive_types
401,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
401,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
401,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
401,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
402,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
402,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
402,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
402,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
402,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
403,email,admin@test.com,No sensible,Estado desconocido,0.1,
403,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
403,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
403,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
403,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
404,email,user@example.org,No sensible,Estado desconocido,0.1,
404,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
404,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
404,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
404,ip,localhost,No sensible,Estado desconocido,0.1,
405,email,email,No sensible,Estado desconocido,0.1,
405,password_hash,password_hash,No sensible,Estado desconocido,0.1,
405,rut,rut,No sensible,Estado desconocido,0.1,
405,telefono,telefono,No sensible,Estado desconocido,0.1,
405,ip,ip,No sensible,Estado desconocido,0.1,
406,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
406,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
406,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
406,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
406,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
407,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
407,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
407,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
407,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
407,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
408,email,admin@test.com,No sensible,Estado desconocido,0.1,
408,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
408,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
408,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
408,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
409,email,user@example.org,No sensible,Estado desconocido,0.1,
409,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
409,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
409,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
409,ip,localhost,No sensible,Estado desconocido,0.1,
410,email,email,No sensible,Estado desconocido,0.1,
410,password_hash,password_hash,No sensible,Estado desconocido,0.1,
410,rut,rut,No sensible,Estado desconocido,0.1,
410,telefono,telefono,No sensible,Estado desconocido,0.1,
410,ip,ip,No sensible,Estado desconocido,0.1,
411,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
411,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
411,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
411,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
411,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
412,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
412,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
412,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
412,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
412,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
413,email,admin@test.com,No sensible,Estado desconocido,0.1,
413,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
413,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
413,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
413,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
414,email,user@example.org,No sensible,Estado desconocido,0.1,
414,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
414,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
414,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
414,ip,localhost,No sensible,Estado desconocido,0.1,
415,email,email,No sensible,Estado desconocido,0.1,
415,password_hash,password_hash,No sensible,Estado desconocido,0.1,
415,rut,rut,No sensible,Estado desconocido,0.1,
415,telefono,telefono,No sensible,Estado desconocido,0.1,
415,ip,ip,No sensible,Estado desconocido,0.1,
416,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
416,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
416,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
416,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
416,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
417,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
417,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
417,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
417,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
417,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
418,email,admin@test.com,No sensible,Estado desconocido,0.1,
418,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
418,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
418,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
418,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
419,email,user@example.org,No sensible,Estado desconocido,0.1,
419,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
419,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
419,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
419,ip,localhost,No sensible,Estado desconocido,0.1,
420,email,email,No sensible,Estado desconocido,0.1,
420,password_hash,password_hash,No sensible,Estado desconocido,0.1,
420,rut,rut,No sensible,Estado desconocido,0.1,
420,telefono,telefono,No sensible,Estado desconocido,0.1,
420,ip,ip,No sensible,Estado desconocido,0.1,
421,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
421,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
421,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
421,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
421,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
422,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
422,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
422,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
422,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
422,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
423,email,admin@test.com,No sensible,Estado desconocido,0.1,
423,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
423,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
423,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
423,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
424,email,user@example.org,No sensible,Estado desconocido,0.1,
424,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
424,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
424,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
424,ip,localhost,No sensible,Estado desconocido,0.1,
425,email,email,No sensible,Estado desconocido,0.1,
425,password_hash,password_hash,No sensible,Estado desconocido,0.1,
425,rut,rut,No sensible,Estado desconocido,0.1,
425,telefono,telefono,No sensible,Estado desconocido,0.1,
425,ip,ip,No sensible,Estado desconocido,0.1,
426,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
426,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
426,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
426,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
426,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
427,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
427,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
427,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
427,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
427,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
428,email,admin@test.com,No sensible,Estado desconocido,0.1,
428,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
428,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
428,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
428,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
429,email,user@example.org,No sensible,Estado desconocido,0.1,
429,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
429,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
429,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
429,ip,localhost,No sensible,Estado desconocido,0.1,
430,email,email,No sensible,Estado desconocido,0.1,
430,password_hash,password_hash,No sensible,Estado desconocido,0.1,
430,rut,rut,No sensible,Estado desconocido,0.1,
430,telefono,telefono,No sensible,Estado desconocido,0.1,
430,ip,ip,No sensible,Estado desconocido,0.1,
431,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
431,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
431,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
431,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
431,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
432,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
432,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
432,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
432,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
432,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
433,email,admin@test.com,No sensible,Estado desconocido,0.1,
433,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
433,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
433,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
433,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
434,email,user@example.org,No sensible,Estado desconocido,0.1,
434,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
434,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
434,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
434,ip,localhost,No sensible,Estado desconocido,0.1,
435,email,email,No sensible,Estado desconocido,0.1,
435,password_hash,password_hash,No sensible,Estado desconocido,0.1,
435,rut,rut,No sensible,Estado desconocido,0.1,
435,telefono,telefono,No sensible,Estado desconocido,0.1,
435,ip,ip,No sensible,Estado desconocido,0.1,
436,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
436,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
436,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
436,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
436,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
437,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
437,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
437,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
437,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
437,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
438,email,admin@test.com,No sensible,Estado desconocido,0.1,
438,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
438,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
438,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
438,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
439,email,user@example.org,No sensible,Estado desconocido,0.1,
439,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
439,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
439,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
439,ip,localhost,No sensible,Estado desconocido,0.1,
440,email,email,No sensible,Estado desconocido,0.1,
440,password_hash,password_hash,No sensible,Estado desconocido,0.1,
440,rut,rut,No sensible,Estado desconocido,0.1,
440,telefono,telefono,No sensible,Estado desconocido,0.1,
440,ip,ip,No sensible,Estado desconocido,0.1,
441,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
441,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
441,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
441,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
441,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
442,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
442,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
442,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
442,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
442,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
443,email,admin@test.com,No sensible,Estado desconocido,0.1,
443,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
443,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
443,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
443,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
444,email,user@example.org,No sensible,Estado desconocido,0.1,
444,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
444,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
444,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
444,ip,localhost,No sensible,Estado desconocido,0.1,
445,email,email,No sensible,Estado desconocido,0.1,
445,password_hash,password_hash,No sensible,Estado desconocido,0.1,
445,rut,rut,No sensible,Estado desconocido,0.1,
445,telefono,telefono,No sensible,Estado desconocido,0.1,
445,ip,ip,No sensible,Estado desconocido,0.1,
446,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
446,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
446,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
446,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
446,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
447,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
447,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
447,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
447,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
447,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
448,email,admin@test.com,No sensible,Estado desconocido,0.1,
448,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
448,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
448,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
448,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
449,email,user@example.org,No sensible,Estado desconocido,0.1,
449,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
449,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
449,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
449,ip,localhost,No sensible,Estado desconocido,0.1,
450,email,email,No sensible,Estado desconocido,0.1,
450,password_hash,password_hash,No sensible,Estado desconocido,0.1,
450,rut,rut,No sensible,Estado desconocido,0.1,
450,telefono,telefono,No sensible,Estado desconocido,0.1,
450,ip,ip,No sensible,Estado desconocido,0.1,
451,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
451,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
451,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
451,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
451,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
452,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
452,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
452,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
452,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
452,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
453,email,admin@test.com,No sensible,Estado desconocido,0.1,
453,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
453,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
453,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
453,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
454,email,user@example.org,No sensible,Estado desconocido,0.1,
454,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
454,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
454,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
454,ip,localhost,No sensible,Estado desconocido,0.1,
455,email,email,No sensible,Estado desconocido,0.1,
455,password_hash,password_hash,No sensible,Estado desconocido,0.1,
455,rut,rut,No sensible,Estado desconocido,0.1,
455,telefono,telefono,No sensible,Estado desconocido,0.1,
455,ip,ip,No sensible,Estado desconocido,0.1,
456,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
456,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
456,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
456,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
456,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
457,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
457,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
457,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
457,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
457,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
458,email,admin@test.com,No sensible,Estado desconocido,0.1,
458,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
458,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
458,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
458,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
459,email,user@example.org,No sensible,Estado desconocido,0.1,
459,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
459,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
459,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
459,ip,localhost,No sensible,Estado desconocido,0.1,
460,email,email,No sensible,Estado desconocido,0.1,
460,password_hash,password_hash,No sensible,Estado desconocido,0.1,
460,rut,rut,No sensible,Estado desconocido,0.1,
460,telefono,telefono,No sensible,Estado desconocido,0.1,
460,ip,ip,No sensible,Estado desconocido,0.1,
461,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
461,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
461,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
461,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
461,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
462,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
462,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
462,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
462,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
462,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
463,email,admin@test.com,No sensible,Estado desconocido,0.1,
463,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
463,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
463,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
463,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
464,email,user@example.org,No sensible,Estado desconocido,0.1,
464,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
464,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
464,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
464,ip,localhost,No sensible,Estado desconocido,0.1,
465,email,email,No sensible,Estado desconocido,0.1,
465,password_hash,password_hash,No sensible,Estado desconocido,0.1,
465,rut,rut,No sensible,Estado desconocido,0.1,
465,telefono,telefono,No sensible,Estado desconocido,0.1,
465,ip,ip,No sensible,Estado desconocido,0.1,
466,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
466,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
466,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
466,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
466,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
467,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
467,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
467,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
467,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
467,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
468,email,admin@test.com,No sensible,Estado desconocido,0.1,
468,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
468,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
468,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
468,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
469,email,user@example.org,No sensible,Estado desconocido,0.1,
469,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
469,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
469,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
469,ip,localhost,No sensible,Estado desconocido,0.1,
470,email,email,No sensible,Estado desconocido,0.1,
470,password_hash,password_hash,No sensible,Estado desconocido,0.1,
470,rut,rut,No sensible,Estado desconocido,0.1,
470,telefono,telefono,No sensible,Estado desconocido,0.1,
470,ip,ip,No sensible,Estado desconocido,0.1,
471,email,juan.perez@empresa.cl,Sensibilidad alta,Sin protección,0.95,Email
471,password_hash,5d41402abc4b2a76b9719d911017c592,Sensibilidad media,Protegido,0.8,
471,rut,12.345.678-5,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
471,telefono,+56912345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
471,ip,192.168.1.100,Sensibilidad media,Sin protección,0.92,Dirección IP
472,email,maria.gonzalez@company.com,Sensibilidad alta,Sin protección,0.95,Email
472,password_hash,$2b$12$N9qo8uLOickgx2ZMRZoMye,Sensibilidad media,Protegido,0.95,
472,rut,11.111.111-1,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
472,telefono,+56987654321,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
472,ip,10.0.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
473,email,admin@test.com,No sensible,Estado desconocido,0.1,
473,password_hash,plaintext_password,No sensible,Estado desconocido,0.1,
473,rut,7654321-6,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
473,telefono,22123456,Sensibilidad media,Parcialmente protegido,0.95,Teléfono Chileno
473,ip,172.16.0.1,Sensibilidad media,Sin protección,0.92,Dirección IP
474,email,user@example.org,No sensible,Estado desconocido,0.1,
474,password_hash,aaf4c61ddcc5e8a2dabede0f3b482cd9aea9434d,Sensibilidad media,Protegido,1.0,
474,rut,8765432-K,Sensibilidad crítica,Sin protección,0.98,RUT Chileno
474,telefono,+56212345678,Sensibilidad media,Sin protección,0.85,Teléfono Internacional
474,ip,localhost,No sensible,Estado desconocido,0.1,
475,email,email,No sensible,Estado desconocido,0.1,
475,password_hash,password_hash,No sensible,Estado desconocido,0.1,
475,rut,rut,No sensible,Estado desconocido,0.1,
475,telefono,telefono,No sensible,Estado desconocido,0.1,
